TIMESTAMP,METRIC,VALUE
1738694460.472140,energy,0.44600000
1738694463.028685,energy,0.46000000
1738694465.587332,energy,0.46000000
1738694465.592484,heart,154.00000000
1738694468.146144,energy,0.46400000
1738694470.644938,energy,0.46400000
1738694470.648952,heart,157.00000000
1738694473.277955,energy,0.47800000
1738694475.643989,heart,158.00000000
1738694475.651189,energy,0.47800000
1738694478.391381,energy,0.48300000
1738694480.642082,energy,0.48300000
1738694480.644910,heart,157.00000000
1738694483.516777,energy,0.47800000
1738694485.636022,heart,154.00000000
1738694486.085137,energy,0.47800000
1738694488.646102,energy,0.46400000
1738694490.669030,heart,154.00000000
1738694491.210093,energy,0.46400000
1738694493.770258,energy,0.46400000
1738694495.668502,heart,155.00000000
1738694496.326362,energy,0.46400000
1738694498.906389,energy,0.46900000
1738694500.675572,heart,158.00000000
1738694501.453672,energy,0.46900000
1738694504.019744,energy,0.48300000
1738694505.638516,heart,156.00000000
1738694506.581796,energy,0.48300000
1738694509.145111,energy,0.47400000
1738694510.637573,heart,154.00000000
1738694511.705757,energy,0.47400000
1738694515.637907,heart,153.00000000
1738694516.522212,energy,0.46000000
1738694519.391600,energy,0.46000000
1738694520.638767,heart,153.00000000
1738694521.953166,energy,0.46000000
1738694524.514844,energy,0.46000000
1738694525.637074,heart,153.00000000
1738694527.079518,energy,0.46000000
1738694529.638557,heart,154.00000000
1738694529.641781,energy,0.46000000
1738694532.199470,energy,0.46000000
1738694534.764674,energy,0.46400000
1738694536.951880,energy,0.46400000
1738694536.957135,heart,154.00000000
1738694539.887464,energy,0.46400000
1738694541.887469,heart,154.00000000
1738694542.446283,energy,0.46400000
1738694545.010824,energy,0.46400000
1738694546.888072,heart,156.00000000
1738694547.566133,energy,0.46400000
1738694550.130199,energy,0.47400000
1738694551.886743,heart,153.00000000
1738694552.694684,energy,0.47400000
1738694555.256718,energy,0.46000000
1738694556.918586,heart,154.00000000
1738694557.819047,energy,0.46000000
1738694560.381773,energy,0.46000000
1738694561.919318,heart,156.00000000
1738694562.945416,energy,0.46400000
1738694565.506683,energy,0.47400000
1738694566.918966,heart,155.00000000
1738694568.068398,energy,0.47400000
1738694570.632806,energy,0.46900000
1738694571.877915,heart,156.00000000
1738694573.191369,energy,0.46900000
1738694575.751814,energy,0.47400000
1738694576.890595,heart,156.00000000
1738694578.315680,energy,0.47400000
1738694580.878766,heart,155.00000000
1738694580.882227,energy,0.47400000
1738694583.436487,energy,0.47400000
1738694585.997872,heart,155.00000000
1738694588.272951,energy,0.46900000
1738694591.887685,heart,155.00000000
1738694593.374827,energy,0.46900000
1738694596.887961,heart,157.00000000
1738694598.504411,energy,0.47800000
1738694601.374596,heart,156.00000000
1738694601.378554,energy,0.47800000
1738694603.940326,energy,0.47400000
1738694606.510770,heart,154.00000000
1738694606.516616,energy,0.47400000
